date;nom_point;latitude;longitude;vitesse_reelle;vitesse_habituelle;bouchon_seconds;niveau traffic
2025-12-07 15:27:16;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 15:27:16;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 15:27:16;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 15:27:17;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 15:27:17;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 15:27:17;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 15:27:17;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 15:32:18;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 15:32:18;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 15:32:18;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 15:32:19;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 15:32:19;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 15:32:19;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 15:32:20;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 15:37:20;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 15:37:20;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 15:37:21;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 15:37:21;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 15:37:21;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 15:37:21;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 15:37:22;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 15:42:22;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 15:42:22;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 15:42:23;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 15:42:23;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 15:42:23;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 15:42:24;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 15:42:24;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 15:47:24;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 15:47:24;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 15:47:25;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 15:47:25;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 15:47:25;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
